datetime,open,high,low,close,volume,symbol
2022-01-01,46216.94,47929.16,46205.0,47723.46,1331.045434,BTC
2022-01-02,47723.46,47969.26,46668.04,47292.35,1114.931347,BTC
2022-01-03,47292.35,47568.43,45709.97,46434.54,1363.65179,BTC
2022-01-04,46434.54,47550.01,45555.5,45837.38,1769.234161,BTC
2022-01-05,45837.38,47042.87,42500.01,43429.46,3777.054742,BTC
2022-01-06,43429.46,43778.92,42448.66,43090.91,2333.885592,BTC
2022-01-07,43090.91,43141.93,40627.57,41553.3,3311.338852,BTC
2022-01-08,41553.3,42299.99,40548.15,41679.74,1556.257757,BTC
2022-01-09,41679.74,42765.99,41000.0,41851.07,628.71002,BTC
2022-01-10,41851.07,42236.95,39602.0,41819.36,4378.056097,BTC
2022-01-11,41819.36,43094.88,41270.5,42730.0,2231.211688,BTC
2022-01-12,42730.0,44272.9,42449.99,43905.83,1910.182249,BTC
2022-01-13,43905.83,44416.95,42323.08,42505.92,2836.933765,BTC
2022-01-14,42505.92,43446.28,41787.03,43059.96,3277.853154,BTC
2022-01-15,43059.96,43789.0,42561.34,43078.45,1636.435652,BTC
2022-01-16,43078.45,43466.45,42593.91,43069.51,1764.299925,BTC
2022-01-17,43069.51,43442.99,41544.75,42201.99,3159.64938,BTC
2022-01-18,42201.99,42673.86,41290.33,42352.18,3269.611384,BTC
2022-01-19,42352.18,42559.01,41148.98,41663.81,3216.112831,BTC
2022-01-20,41663.81,43503.78,40562.0,40704.32,3822.372632,BTC
2022-01-21,40704.32,41100.0,35421.24,36455.47,16301.092729,BTC
2022-01-22,36455.47,36809.56,34032.88,35070.35,17204.71141,BTC
2022-01-23,35070.35,36498.46,34600.0,36251.6,7653.721893,BTC
2022-01-24,36251.6,37525.64,32968.86,36669.17,17548.521293,BTC
2022-01-25,36669.17,37531.5,35702.99,36950.75,8348.197196,BTC
2022-01-26,36950.75,38910.0,36252.94,36796.91,9990.287455,BTC
2022-01-27,36796.91,37225.77,35512.99,37165.95,6106.44901,BTC
2022-01-28,37165.95,37999.99,36156.33,37716.57,3100.205417,BTC
2022-01-29,37716.57,38715.54,37298.0,38167.4,1902.922608,BTC
2022-01-30,38167.4,38319.47,37352.29,37896.8,1390.990921,BTC
2022-01-31,37896.8,38731.26,36643.37,38463.88,2150.966918,BTC
2022-02-01,38463.88,39258.05,38011.84,38695.22,2070.443,BTC
2022-02-02,38695.22,38852.93,36595.99,36893.08,2625.836645,BTC
2022-02-03,36893.08,37371.0,36250.0,37310.29,2833.962837,BTC
2022-02-04,37310.29,41704.35,37026.73,41560.38,4720.332017,BTC
2022-02-05,41560.38,41908.45,40939.37,41382.6,2186.781381,BTC
2022-02-06,41382.6,42655.31,41120.68,42381.72,1899.136864,BTC
2022-02-07,42381.72,44500.02,41650.0,43825.72,4590.89898,BTC
2022-02-08,43825.72,45475.97,42667.0,44032.87,5113.829824,BTC
2022-02-09,44032.87,44792.83,43126.38,44374.57,2216.399474,BTC
2022-02-10,44374.57,45759.12,43200.0,43494.01,3111.796323,BTC
2022-02-11,43494.01,43918.35,41966.7,42373.59,3565.319202,BTC
2022-02-12,42373.59,42999.96,41742.15,42214.01,1656.522112,BTC
2022-02-13,42214.01,42744.36,41870.27,42050.67,1349.521294,BTC
2022-02-14,42050.67,42825.22,41552.89,42531.87,2192.737497,BTC
2022-02-15,42531.87,44749.57,42433.95,44544.44,1853.575001,BTC
2022-02-16,44544.44,44549.65,43309.3,43873.96,1774.543393,BTC
2022-02-17,43873.96,44164.05,40073.55,40512.64,3536.755928,BTC
2022-02-18,40512.64,40950.71,39456.74,39974.83,3105.581231,BTC
2022-02-19,39974.83,40433.09,39642.53,40080.53,1013.470694,BTC
2022-02-20,40080.53,40115.3,38001.34,38381.48,3683.241457,BTC
2022-02-21,38381.48,39478.41,36803.59,37011.07,15861.255948,BTC
2022-02-22,37011.07,38422.32,36351.07,38238.96,5826.672212,BTC
2022-02-23,38238.96,39238.88,37058.22,37250.61,6701.833428,BTC
2022-02-24,37250.61,39731.99,34331.44,38325.31,26602.385289,BTC
2022-02-25,38325.31,39683.14,38018.17,39214.93,12677.326483,BTC
2022-02-26,39214.93,40277.19,38573.54,39116.35,6019.167834,BTC
2022-02-27,39116.35,39853.09,37000.96,37697.69,11114.339559,BTC
2022-02-28,37697.69,44212.04,37450.18,43169.33,16534.24348,BTC
2022-03-01,43169.33,44945.38,42830.85,44423.47,14656.696111,BTC
2022-03-02,44423.47,45333.62,43334.72,43892.99,14276.766237,BTC
2022-03-03,43892.99,44094.6,41832.3,42454.0,11125.910216,BTC
2022-03-04,42454.0,42527.29,38552.47,39148.66,14077.163748,BTC
2022-03-05,39148.66,39612.74,38575.63,39397.97,7100.529394,BTC
2022-03-06,39397.97,39688.13,38094.21,38410.02,10190.53207,BTC
