datetime,open,high,low,close,volume,symbol
2022-01-01,46218.3,47947.9,46216.2,47731.4,12228.27363501,BTC
2022-01-02,47731.5,47994.1,46666.0,47290.0,10228.22774165,BTC
2022-01-03,47290.0,47570.0,45688.0,46446.7,13114.64082491,BTC
2022-01-04,46446.7,47600.0,45500.0,45830.1,14347.45019692,BTC
2022-01-05,45830.0,47058.0,42444.1,43450.0,21690.49687895,BTC
2022-01-06,43454.3,43786.0,42416.4,43078.6,10529.24727977,BTC
2022-01-07,43078.6,43140.3,40565.8,41558.3,23440.96981428,BTC
2022-01-08,41558.3,42301.9,40515.9,41683.5,18359.50798515,BTC
2022-01-09,41683.5,42780.0,41200.0,41866.8,7507.89591728,BTC
2022-01-10,41866.7,42235.5,39636.1,41820.0,16166.3740806,BTC
2022-01-11,41820.0,43099.2,41268.9,42725.5,10212.24732484,BTC
2022-01-12,42725.5,44350.0,42463.4,43908.9,9764.95482427,BTC
2022-01-13,43909.0,44431.1,42320.0,42565.2,9056.49111912,BTC
2022-01-14,42565.2,43453.2,41748.0,43066.2,9124.20248869,BTC
2022-01-15,43066.2,43799.0,42566.4,43079.4,6611.21468869,BTC
2022-01-16,43079.5,43477.9,42600.0,43069.4,5840.14474763,BTC
2022-01-17,43070.0,43175.5,41555.5,42204.9,6715.36981197,BTC
2022-01-18,42204.9,42690.0,41284.9,42350.3,5758.3980554,BTC
2022-01-19,42350.3,42573.0,41140.0,41658.6,8805.05077398,BTC
2022-01-20,41658.5,43497.0,40562.6,40676.4,10669.14253978,BTC
2022-01-21,40676.4,41097.6,35420.4,36458.1,27523.25677204,BTC
2022-01-22,36454.6,36830.1,34000.0,35063.5,25275.29771466,BTC
2022-01-23,35063.5,36545.2,34560.0,36257.6,11543.67746147,BTC
2022-01-24,36257.5,38300.0,32928.1,36667.0,26108.11970494,BTC
2022-01-25,36666.9,38118.4,35709.5,36952.0,12649.91809102,BTC
2022-01-26,36951.9,38900.0,36259.6,36809.9,19953.91037089,BTC
2022-01-27,36810.0,37221.8,35524.1,37166.1,9901.33752785,BTC
2022-01-28,37166.0,38000.0,36150.0,37717.5,6302.01509706,BTC
2022-01-29,37717.5,38737.6,37300.0,38173.8,4555.76638938,BTC
2022-01-30,38173.8,38400.9,37354.8,37894.1,3098.31738133,BTC
2022-01-31,37894.1,38750.2,36638.0,38468.0,5873.83790807,BTC
2022-02-01,38468.0,39300.0,38001.0,38700.0,4795.07525497,BTC
2022-02-02,38700.0,38855.6,36577.0,36899.8,5163.64052049,BTC
2022-02-03,36899.8,37931.6,36254.0,37320.5,5887.09364176,BTC
2022-02-04,37320.4,41745.6,37000.0,41574.0,11658.14426065,BTC
2022-02-05,41575.9,41920.0,40947.5,41390.1,4626.77674449,BTC
2022-02-06,41390.1,42718.4,41114.1,42380.4,3660.83636871,BTC
2022-02-07,42380.4,44515.5,41650.0,43846.0,8429.85441136,BTC
2022-02-08,43846.0,45486.0,42668.1,44039.9,11013.32353911,BTC
2022-02-09,44041.2,44822.9,43128.0,44378.7,5127.17759666,BTC
2022-02-10,44378.8,45832.2,43166.4,43490.7,13020.22698165,BTC
2022-02-11,43492.0,43923.9,41928.6,42377.6,7802.54759753,BTC
2022-02-12,42376.0,43000.0,41708.9,42216.1,4607.62355486,BTC
2022-02-13,42217.1,42771.9,41868.7,42053.9,3226.25242462,BTC
2022-02-14,42053.9,42836.9,41555.5,42532.5,5831.63689163,BTC
2022-02-15,42532.5,44761.3,42419.8,44549.9,5797.71592276,BTC
2022-02-16,44550.0,44559.9,43318.1,43880.1,4123.04818911,BTC
2022-02-17,43880.1,44153.9,40060.0,40514.2,8331.69782449,BTC
2022-02-18,40514.2,40958.0,39447.1,39984.1,7335.98368783,BTC
2022-02-19,39984.0,40446.4,39642.8,40072.5,2943.19105055,BTC
2022-02-20,40072.6,40118.9,37955.5,38380.0,4993.21142367,BTC
2022-02-21,38380.0,39493.9,36800.0,37012.6,12199.88324444,BTC
2022-02-22,37012.7,38433.0,36352.0,38234.1,8117.45589667,BTC
2022-02-23,38234.1,39250.0,37038.9,37248.0,6817.46029075,BTC
2022-02-24,37247.9,39871.3,34322.0,38332.0,24736.32714941,BTC
2022-02-25,38331.6,39692.0,38023.6,39222.0,7986.69449622,BTC
2022-02-26,39222.0,40308.0,38584.8,39108.0,5174.86231705,BTC
2022-02-27,39108.3,39860.0,36965.8,37698.0,9972.69838271,BTC
2022-02-28,37697.9,44215.8,37450.1,43171.2,14797.8226169,BTC
2022-03-01,43171.1,44949.6,42833.4,44400.0,10280.94621428,BTC
2022-03-02,44400.0,45333.0,43341.8,43904.1,8696.85268421,BTC
2022-03-03,43904.1,44085.9,41836.0,42454.1,6790.75882335,BTC
2022-03-04,42454.1,42522.0,38555.0,39140.0,11014.14256401,BTC
2022-03-05,39140.0,39611.0,38576.0,39394.0,4210.0862948,BTC
2022-03-06,39394.0,39700.0,38092.0,38415.0,5414.75608799,BTC
2022-03-07,38415.0,39550.0,37158.8,37995.0,9422.93630218,BTC
2022-03-08,37995.0,39363.4,37877.3,38733.6,7766.81275915,BTC
2022-03-09,38733.5,42583.5,38660.2,41951.9,11357.93947818,BTC
2022-03-10,41949.0,42044.0,38550.0,39419.6,15110.31933136,BTC
2022-03-11,39419.6,40239.0,38227.5,38735.1,9247.23423198,BTC
2022-03-12,38735.1,39460.3,38666.6,38806.1,3255.26951759,BTC
2022-03-13,38806.1,39307.0,37573.8,37779.9,4713.11966856,BTC
2022-03-14,37780.0,39936.0,37554.8,39676.2,8275.13939424,BTC
2022-03-15,39676.1,39897.9,38111.0,39289.1,7809.58047303,BTC
2022-03-16,39288.7,41738.1,38820.0,41119.9,23652.96624046,BTC
2022-03-17,41120.0,41476.9,40512.9,40917.9,6888.56571857,BTC
2022-03-18,40918.0,42311.0,40144.9,41761.2,8551.60429425,BTC
2022-03-19,41761.1,42398.0,41515.1,42205.2,6021.70490213,BTC
2022-03-20,42204.7,42290.7,40909.7,41262.0,6621.8036546,BTC
2022-03-21,41263.0,41530.0,40480.0,41008.0,9558.77318444,BTC
2022-03-22,41008.0,43370.0,40880.0,42359.5,13832.22844809,BTC
2022-03-23,42359.5,43020.0,41756.1,42884.1,7826.14818033,BTC
2022-03-24,42884.1,44216.0,42590.0,43994.2,9510.25475408,BTC
2022-03-25,43994.2,45080.0,43584.0,44312.7,9361.45761573,BTC
2022-03-26,44312.8,44789.6,44079.9,44520.1,3647.55866493,BTC
2022-03-27,44520.0,46942.0,44432.0,46824.1,8681.46752381,BTC
2022-03-28,46824.1,48184.8,46665.2,47127.9,9831.73479559,BTC
2022-03-29,47128.0,48075.0,46956.1,47440.0,9552.62624495,BTC
